from_id,link_type,to_id,reason
CTMS-85,blocked by,CTMS-81,Story dependency
CTMS-85-T02,blocked by,CTMS-85-T01,Task execution order
CTMS-85-T03,blocked by,CTMS-85-T01,Task execution order
CTMS-86,blocked by,CTMS-80,Story dependency
CTMS-86,blocked by,CTMS-82,Story dependency
CTMS-86,blocked by,CTMS-60,Story dependency
CTMS-86-T02,blocked by,CTMS-86-T01,Task execution order
CTMS-86-T03,blocked by,CTMS-86-T01,Task execution order
CTMS-86-T04,blocked by,CTMS-86-T01,Task execution order
CTMS-87,blocked by,CTMS-66,Story dependency
CTMS-87-T02,blocked by,CTMS-87-T01,Task execution order
CTMS-87-T03,blocked by,CTMS-87-T01,Task execution order
CTMS-88,blocked by,CTMS-87,Story dependency
CTMS-88-T02,blocked by,CTMS-88-T01,Task execution order
CTMS-88-T03,blocked by,CTMS-88-T01,Task execution order
CTMS-88-T04,blocked by,CTMS-88-T01,Task execution order
CTMS-89,blocked by,CTMS-70,Story dependency
CTMS-89,blocked by,CTMS-66,Story dependency
CTMS-89-T02,blocked by,CTMS-89-T01,Task execution order
CTMS-89-T03,blocked by,CTMS-89-T01,Task execution order
CTMS-89-T04,blocked by,CTMS-89-T01,Task execution order
CTMS-90,blocked by,CTMS-88,Story dependency
CTMS-90,blocked by,CTMS-87,Story dependency
CTMS-90-T02,blocked by,CTMS-90-T01,Task execution order
CTMS-90-T03,blocked by,CTMS-90-T01,Task execution order
CTMS-91,blocked by,CTMS-88,Story dependency
CTMS-91-T02,blocked by,CTMS-91-T01,Task execution order
CTMS-91-T03,blocked by,CTMS-91-T01,Task execution order
CTMS-92,blocked by,CTMS-06,Story dependency
CTMS-92,blocked by,CTMS-91,Story dependency
CTMS-92-T02,blocked by,CTMS-92-T01,Task execution order
CTMS-92-T03,blocked by,CTMS-92-T01,Task execution order
CTMS-93,blocked by,CTMS-74,Story dependency
CTMS-93-T02,blocked by,CTMS-93-T01,Task execution order
CTMS-93-T03,blocked by,CTMS-93-T01,Task execution order
CTMS-93-T04,blocked by,CTMS-93-T01,Task execution order
CTMS-94,blocked by,CTMS-88,Story dependency
CTMS-94,blocked by,CTMS-93,Story dependency
CTMS-94-T02,blocked by,CTMS-94-T01,Task execution order
CTMS-94-T03,blocked by,CTMS-94-T01,Task execution order
CTMS-95,blocked by,CTMS-93,Story dependency
CTMS-95,blocked by,CTMS-80,Story dependency
CTMS-95-T02,blocked by,CTMS-95-T01,Task execution order
CTMS-95-T03,blocked by,CTMS-95-T01,Task execution order
CTMS-96,blocked by,CTMS-81,Story dependency
CTMS-96,blocked by,CTMS-95,Story dependency
CTMS-96-T02,blocked by,CTMS-96-T01,Task execution order
CTMS-96-T03,blocked by,CTMS-96-T01,Task execution order
CTMS-97,blocked by,CTMS-93,Story dependency
CTMS-97-T02,blocked by,CTMS-97-T01,Task execution order
CTMS-97-T03,blocked by,CTMS-97-T01,Task execution order
CTMS-98,blocked by,CTMS-03,Story dependency
CTMS-98-T02,blocked by,CTMS-98-T01,Task execution order
CTMS-98-T03,blocked by,CTMS-98-T01,Task execution order
CTMS-99,blocked by,CTMS-93,Story dependency
CTMS-99,blocked by,CTMS-98,Story dependency
CTMS-99-T02,blocked by,CTMS-99-T01,Task execution order
CTMS-99-T03,blocked by,CTMS-99-T01,Task execution order
CTMS-99-T04,blocked by,CTMS-99-T01,Task execution order
CTMS-100,blocked by,CTMS-99,Story dependency
CTMS-100-T02,blocked by,CTMS-100-T01,Task execution order
CTMS-100-T03,blocked by,CTMS-100-T01,Task execution order
CTMS-100-T04,blocked by,CTMS-100-T01,Task execution order
CTMS-101,blocked by,CTMS-98,Story dependency
CTMS-101-T02,blocked by,CTMS-101-T01,Task execution order
CTMS-101-T03,blocked by,CTMS-101-T01,Task execution order
CTMS-101-T04,blocked by,CTMS-101-T01,Task execution order
CTMS-102,blocked by,CTMS-98,Story dependency
CTMS-102-T02,blocked by,CTMS-102-T01,Task execution order
CTMS-102-T03,blocked by,CTMS-102-T01,Task execution order
CTMS-103,blocked by,CTMS-40,Story dependency
CTMS-103,blocked by,CTMS-35,Story dependency
CTMS-103,blocked by,CTMS-98,Story dependency
CTMS-103-T02,blocked by,CTMS-103-T01,Task execution order
CTMS-103-T03,blocked by,CTMS-103-T01,Task execution order
CTMS-104,blocked by,CTMS-98,Story dependency
CTMS-104-T02,blocked by,CTMS-104-T01,Task execution order
CTMS-104-T03,blocked by,CTMS-104-T01,Task execution order
CTMS-105,blocked by,CTMS-19,Story dependency
CTMS-105,blocked by,CTMS-20,Story dependency
CTMS-105,blocked by,CTMS-84,Story dependency
CTMS-105-T02,blocked by,CTMS-105-T01,Task execution order
CTMS-105-T03,blocked by,CTMS-105-T01,Task execution order
CTMS-105-T04,blocked by,CTMS-105-T01,Task execution order
CTMS-106,blocked by,CTMS-105,Story dependency
CTMS-106-T02,blocked by,CTMS-106-T01,Task execution order
CTMS-106-T03,blocked by,CTMS-106-T01,Task execution order
CTMS-106-T04,blocked by,CTMS-106-T01,Task execution order
CTMS-107,blocked by,CTMS-75,Story dependency
CTMS-107,blocked by,CTMS-79,Story dependency
CTMS-107,blocked by,CTMS-105,Story dependency
CTMS-107-T02,blocked by,CTMS-107-T01,Task execution order
CTMS-107-T03,blocked by,CTMS-107-T01,Task execution order
CTMS-107-T04,blocked by,CTMS-107-T01,Task execution order
CTMS-108,blocked by,CTMS-64,Story dependency
CTMS-108,blocked by,CTMS-93,Story dependency
CTMS-108-T02,blocked by,CTMS-108-T01,Task execution order
CTMS-108-T03,blocked by,CTMS-108-T01,Task execution order
CTMS-109,blocked by,CTMS-42,Story dependency
CTMS-109,blocked by,CTMS-62,Story dependency
