"external_id","url"
"CTMS-22-T03","https://github.com/SEM9-CAPSTONE/CTMS/issues/231"
"CTMS-22-T04","https://github.com/SEM9-CAPSTONE/CTMS/issues/232"
"CTMS-23-T01","https://github.com/SEM9-CAPSTONE/CTMS/issues/233"
"CTMS-23-T02","https://github.com/SEM9-CAPSTONE/CTMS/issues/234"
"CTMS-23-T03","https://github.com/SEM9-CAPSTONE/CTMS/issues/235"
"CTMS-24-T01","https://github.com/SEM9-CAPSTONE/CTMS/issues/236"
"CTMS-24-T02","https://github.com/SEM9-CAPSTONE/CTMS/issues/237"
"CTMS-24-T03","https://github.com/SEM9-CAPSTONE/CTMS/issues/238"
"CTMS-24-T04","https://github.com/SEM9-CAPSTONE/CTMS/issues/239"
"CTMS-25-T01","https://github.com/SEM9-CAPSTONE/CTMS/issues/240"
"CTMS-25-T02","https://github.com/SEM9-CAPSTONE/CTMS/issues/241"
"CTMS-25-T03","https://github.com/SEM9-CAPSTONE/CTMS/issues/242"
"CTMS-26-T01","https://github.com/SEM9-CAPSTONE/CTMS/issues/243"
"CTMS-26-T02","https://github.com/SEM9-CAPSTONE/CTMS/issues/244"
"CTMS-26-T03","https://github.com/SEM9-CAPSTONE/CTMS/issues/245"
"CTMS-27-T01","https://github.com/SEM9-CAPSTONE/CTMS/issues/246"
"CTMS-27-T02","https://github.com/SEM9-CAPSTONE/CTMS/issues/247"
"CTMS-27-T03","https://github.com/SEM9-CAPSTONE/CTMS/issues/248"
"CTMS-28-T01","https://github.com/SEM9-CAPSTONE/CTMS/issues/249"
"CTMS-28-T02","https://github.com/SEM9-CAPSTONE/CTMS/issues/250"
"CTMS-28-T03","https://github.com/SEM9-CAPSTONE/CTMS/issues/251"
"CTMS-29-T01","https://github.com/SEM9-CAPSTONE/CTMS/issues/252"
"CTMS-29-T02","https://github.com/SEM9-CAPSTONE/CTMS/issues/253"
"CTMS-29-T03","https://github.com/SEM9-CAPSTONE/CTMS/issues/254"
"CTMS-30-T01","https://github.com/SEM9-CAPSTONE/CTMS/issues/255"
"CTMS-30-T02","https://github.com/SEM9-CAPSTONE/CTMS/issues/256"
"CTMS-30-T03","https://github.com/SEM9-CAPSTONE/CTMS/issues/257"
"CTMS-30-T04","https://github.com/SEM9-CAPSTONE/CTMS/issues/258"
"CTMS-31-T01","https://github.com/SEM9-CAPSTONE/CTMS/issues/259"
"CTMS-31-T02","https://github.com/SEM9-CAPSTONE/CTMS/issues/260"
"CTMS-31-T03","https://github.com/SEM9-CAPSTONE/CTMS/issues/261"
